epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4551.1,1.23635,1.23459,1.56341,0.78868,0.72897,0.7614,0.45942,1.46236,1.04486,1.93734,0.005842,0.005842,0.005842
44,4654.21,1.23558,1.20243,1.55518,0.84197,0.70069,0.76275,0.45782,1.47584,1.02768,1.95398,0.005743,0.005743,0.005743
45,4757.47,1.22822,1.19922,1.55134,0.81393,0.7227,0.76974,0.46273,1.46465,1.0005,1.94229,0.005644,0.005644,0.005644
46,4860.79,1.22102,1.19389,1.54634,0.82787,0.70804,0.76354,0.45988,1.46921,1.01495,1.95368,0.005545,0.005545,0.005545
47,4963.94,1.21965,1.1902,1.54349,0.84486,0.70119,0.76266,0.46281,1.47247,1.01723,1.96164,0.005446,0.005446,0.005446
48,5066.88,1.21064,1.17157,1.53598,0.83574,0.69918,0.76137,0.46146,1.47386,1.01821,1.95734,0.005347,0.005347,0.005347
49,5170.49,1.20983,1.15448,1.53439,0.84939,0.68626,0.75724,0.46382,1.46884,1.01755,1.95729,0.005248,0.005248,0.005248
50,5273.95,1.20152,1.13871,1.52614,0.83365,0.71451,0.76809,0.46201,1.48194,1.02521,1.9725,0.005149,0.005149,0.005149
51,5377.15,1.19879,1.14416,1.53309,0.82659,0.70782,0.75706,0.46144,1.47908,1.02959,1.96126,0.00505,0.00505,0.00505
52,5480.6,1.19419,1.12571,1.51976,0.84229,0.70401,0.76128,0.463,1.48075,1.0107,1.97094,0.004951,0.004951,0.004951
53,5583.87,1.18486,1.10976,1.51575,0.8353,0.71397,0.76429,0.46433,1.473,1.01048,1.9628,0.004852,0.004852,0.004852
54,5687.02,1.18834,1.10091,1.51838,0.8246,0.71116,0.75893,0.46297,1.47806,1.00646,1.96494,0.004753,0.004753,0.004753
55,5790.11,1.18654,1.10425,1.51426,0.84168,0.70933,0.76599,0.46196,1.48425,1.00347,1.97122,0.004654,0.004654,0.004654
56,5893.04,1.17112,1.08159,1.50298,0.84536,0.7017,0.76516,0.46803,1.47841,1.00113,1.96884,0.004555,0.004555,0.004555
57,5996.33,1.17488,1.08571,1.50499,0.83263,0.72304,0.77002,0.46943,1.47392,0.98902,1.9684,0.004456,0.004456,0.004456
58,6099.7,1.1636,1.08287,1.49796,0.84587,0.71644,0.76989,0.46692,1.47255,0.97857,1.97157,0.004357,0.004357,0.004357
59,6203.33,1.16333,1.0626,1.50117,0.86454,0.70122,0.76475,0.46733,1.48399,0.98352,1.98338,0.004258,0.004258,0.004258
60,6306.6,1.15851,1.06373,1.49389,0.85636,0.70782,0.76615,0.46597,1.48169,0.98319,1.98053,0.004159,0.004159,0.004159
61,6410.25,1.14872,1.04745,1.49096,0.85521,0.71148,0.7704,0.46747,1.47915,0.97476,1.97903,0.00406,0.00406,0.00406
62,6513.78,1.15747,1.05215,1.49307,0.85735,0.70984,0.77356,0.46849,1.48734,0.9805,1.98778,0.003961,0.003961,0.003961
63,6617.16,1.14202,1.03078,1.48106,0.84724,0.71061,0.77073,0.46688,1.49137,0.98335,1.99457,0.003862,0.003862,0.003862
64,6720.71,1.13861,1.02568,1.475,0.84052,0.71697,0.77141,0.46549,1.4902,0.97789,1.99598,0.003763,0.003763,0.003763
65,6824.28,1.12924,0.99793,1.46766,0.82348,0.73411,0.77504,0.46798,1.48842,0.97697,1.99826,0.003664,0.003664,0.003664
66,6927.75,1.13044,1.01018,1.46804,0.84125,0.72324,0.77563,0.46873,1.49101,0.97437,1.9998,0.003565,0.003565,0.003565
67,7031.21,1.12891,1.01504,1.4655,0.83718,0.72561,0.77365,0.46703,1.49224,0.98374,2.0043,0.003466,0.003466,0.003466
68,7134.82,1.12138,0.98964,1.459,0.86831,0.71072,0.77629,0.46622,1.49815,0.98746,2.01119,0.003367,0.003367,0.003367
69,7238.42,1.10795,0.98312,1.45276,0.86573,0.71266,0.77407,0.46483,1.4982,0.99142,2.01314,0.003268,0.003268,0.003268
70,7341.98,1.11112,0.9737,1.45387,0.86035,0.71438,0.77345,0.46637,1.4993,0.98916,2.01684,0.003169,0.003169,0.003169
71,7445.36,1.09005,0.97148,1.44111,0.83436,0.7228,0.77103,0.46564,1.49866,0.99296,2.01727,0.00307,0.00307,0.00307
72,7548.33,1.09581,0.95716,1.44363,0.82361,0.72567,0.7709,0.46537,1.50098,0.99856,2.02117,0.002971,0.002971,0.002971
73,7651.37,1.08881,0.93853,1.43762,0.822,0.73106,0.7727,0.46598,1.50114,0.99521,2.02291,0.002872,0.002872,0.002872
74,7754.66,1.09028,0.94355,1.43252,0.84153,0.71539,0.77345,0.46575,1.5058,0.99485,2.03092,0.002773,0.002773,0.002773
75,7858.13,1.0792,0.94018,1.42971,0.84663,0.71278,0.77175,0.46388,1.5049,0.99139,2.03113,0.002674,0.002674,0.002674
76,7961.05,1.07656,0.92877,1.42475,0.85159,0.71149,0.77102,0.46402,1.50796,0.9908,2.03726,0.002575,0.002575,0.002575
77,8064.36,1.06848,0.91229,1.4214,0.85099,0.71036,0.77072,0.46515,1.51166,0.98977,2.0408,0.002476,0.002476,0.002476
